Dia;Temperatura_C;Umidade_RH;Maquina
13;11,4;61,5;RS1-070
13;11,4;62,0;RS1-070
13;12,3;61,0;RS1-070
13;11,6;60,5;RS1-070
13;11,6;61,0;RS1-070
13;11,7;61,0;RS1-070
12;11,8;62,5;RS1-080
12;12,1;62,0;RS1-080
12;11,6;62,0;RS1-080
12;11,7;62,5;RS1-080
12;11,8;62,5;RS1-080
12;12,0;62,0;RS1-080
12;11,4;62,0;RS1-080
12;11,6;62,0;RS1-080
12;11,6;63,5;RS1-080
12;12,1;62,0;RS1-080
12;11,4;62,5;RS1-080
12;11,5;63,0;RS1-080
12;11,8;62,5;RS1-080
12;12,0;61,5;RS1-080
12;11,5;61,5;RS1-080
12;11,7;61,5;RS1-080
12;11,7;62,0;RS1-080
12;12,0;61,5;RS1-080
12;11,5;61,5;RS1-080
12;11,7;62,0;RS1-080
12;11,8;62,0;RS1-080
12;12,2;61,5;RS1-080
12;11,7;62,0;RS1-080
12;11,8;62,0;RS1-080
12;11,8;63,0;RS1-080
12;12,2;62,0;RS1-080
12;11,8;62,0;RS1-080
12;11,9;62,5;RS1-080
12;12,2;63,5;RS1-080
12;12,5;62,0;RS1-080
12;12,2;62,5;RS1-080
12;12,4;62,5;RS1-080
12;12,5;63,0;RS1-080
12;12,3;63,0;RS1-080
12;12,2;63,5;RS1-080
12;12,3;63,5;RS1-080
12;12,4;63,5;RS1-080
12;12,0;63,5;RS1-080
12;12,0;64,0;RS1-080
12;12,0;64,0;RS1-080
12;12,3;64,0;RS1-080
12;12,0;64,0;RS1-080
12;11,9;64,5;RS1-080
12;11,9;64,5;RS1-080
12;12,3;63,5;RS1-080
12;12,0;63,5;RS1-080
12;11,9;64,0;RS1-080
12;11,9;64,0;RS1-080
13;12,2;63,0;RS1-080
13;11,8;63,0;RS1-080
13;11,6;63,5;RS1-080
13;11,8;63,5;RS1-080
13;12,1;63,0;RS1-080
13;11,8;63,0;RS1-080
13;11,6;63,5;RS1-080
13;11,7;63,0;RS1-080
13;11,9;62,5;RS1-080
13;11,9;62,5;RS1-080
13;11,6;63,0;RS1-080
13;11,7;63,0;RS1-080
13;12,0;62,5;RS1-080
13;11,7;62,5;RS1-080
13;11,7;62,5;RS1-080
13;11,9;62,5;RS1-080
12;11,8;63,0;RS1-090
12;12,1;60,5;RS1-090
12;11,8;61,5;RS1-090
12;11,7;61,0;RS1-090
12;11,7;62,0;RS1-090
12;12,0;61,0;RS1-090
12;11,6;60,5;RS1-090
12;11,5;61,5;RS1-090
12;11,5;63,0;RS1-090
12;12,3;60,5;RS1-090
12;11,5;61,0;RS1-090
12;11,5;62,5;RS1-090
12;11,7;62,0;RS1-090
12;11,9;60,0;RS1-090
12;11,8;60,0;RS1-090
12;11,8;60,0;RS1-090
12;11,7;61,5;RS1-090
12;12,0;60,0;RS1-090
12;11,5;60,5;RS1-090
12;11,6;61,0;RS1-090
12;11,7;62,0;RS1-090
12;12,3;60,0;RS1-090
12;11,8;61,0;RS1-090
12;11,9;61,5;RS1-090
12;11,7;62,5;RS1-090
12;12,2;60,5;RS1-090
12;11,8;61,0;RS1-090
12;11,9;61,5;RS1-090
12;12,2;62,5;RS1-090
12;12,4;60,5;RS1-090
12;12,6;62,0;RS1-090
12;12,8;61,0;RS1-090
12;12,8;61,0;RS1-090
12;12,9;61,0;RS1-090
12;12,9;61,0;RS1-090
12;12,9;61,5;RS1-090
12;12,8;61,5;RS1-090
12;12,6;61,5;RS1-090
12;12,6;61,5;RS1-090
12;12,5;62,0;RS1-090
12;12,7;62,5;RS1-090
12;12,6;62,5;RS1-090
12;12,5;62,5;RS1-090
12;12,5;62,5;RS1-090
12;12,7;61,5;RS1-090
12;12,7;61,5;RS1-090
12;12,5;61,5;RS1-090
12;12,4;61,5;RS1-090
13;12,5;61,0;RS1-090
13;12,5;61,0;RS1-090
13;12,4;61,0;RS1-090
13;12,4;61,0;RS1-090
13;12,5;61,0;RS1-090
13;12,5;61,0;RS1-090
13;12,4;61,0;RS1-090
13;12,4;60,5;RS1-090
13;12,4;60,5;RS1-090
13;12,5;60,5;RS1-090
13;12,2;60,5;RS1-090
13;12,3;61,0;RS1-090
13;12,4;60,5;RS1-090
13;12,4;60,5;RS1-090
13;12,4;60,0;RS1-090
13;12,4;60,0;RS1-090
12;12,2;59,5;RS1-180
12;12,0;60,2;RS1-180
12;12,0;59,5;RS1-180
12;12,2;59,9;RS1-180
12;12,1;60,2;RS1-180
12;11,9;60,2;RS1-180
12;11,9;59,9;RS1-180
12;12,2;59,7;RS1-180
12;12,0;60,2;RS1-180
12;12,1;59,7;RS1-180
12;11,8;60,5;RS1-180
12;12,0;59,6;RS1-180
12;12,1;59,5;RS1-180
12;12,1;59,9;RS1-180
12;12,0;58,0;RS1-180
12;12,0;57,4;RS1-180
12;11,9;57,5;RS1-180
12;11,9;58,0;RS1-180
12;11,9;58,9;RS1-180
12;12,1;57,3;RS1-180
12;12,1;59,8;RS1-180
12;12,2;60,2;RS1-180
