Dia;Turno;Temperatura_C;Umidade_RH;Maquina
12;Turno 2;11,7;62;RS1-060
12;Turno 2;11,6;62;RS1-060
12;Turno 2;11,6;62,5;RS1-060
12;Turno 2;11,6;62;RS1-060
12;Turno 2;11,5;62,5;RS1-060
12;Turno 2;11,4;62,5;RS1-060
12;Turno 2;11,4;62,5;RS1-060
12;Turno 2;11,7;62;RS1-060
12;Turno 2;11,7;62;RS1-060
12;Turno 2;11,5;62;RS1-060
12;Turno 2;11,4;62;RS1-060
13;Turno 3;11,6;61,5;RS1-060
13;Turno 3;11,6;61,5;RS1-060
13;Turno 3;11,5;60,5;RS1-060
13;Turno 3;11,5;61;RS1-060
13;Turno 3;11,5;61;RS1-060
13;Turno 3;11,6;61;RS1-060
13;Turno 3;11,4;61,5;RS1-060
13;Turno 3;11,3;61;RS1-060
13;Turno 3;11,6;60,5;RS1-060
13;Turno 3;11,6;61;RS1-060
13;Turno 3;11,5;60,5;RS1-060
13;Turno 3;11,4;61;RS1-060
13;Turno 3;11,6;60,5;RS1-060
13;Turno 3;11,4;60,5;RS1-060
13;Turno 3;11,3;61;RS1-060
13;Turno 1;11,3;60,5;RS1-060
12;Turno 3;11,9;62,5;RS1-070
12;Turno 3;11,2;61,5;RS1-070
12;Turno 3;11,1;61;RS1-070
12;Turno 3;11,2;61;RS1-070
12;Turno 3;11,8;62;RS1-070
12;Turno 3;11,2;61;RS1-070
12;Turno 3;11,1;61;RS1-070
12;Turno 3;11,1;61,5;RS1-070
12;Turno 3;11,7;62,5;RS1-070
12;Turno 3;11,4;60,5;RS1-070
12;Turno 3;11;60,5;RS1-070
12;Turno 3;11;61,5;RS1-070
12;Turno 3;11,9;61,5;RS1-070
12;Turno 3;11,2;60,5;RS1-070
12;Turno 3;11,2;60,5;RS1-070
12;Turno 1;10,9;60,5;RS1-070
12;Turno 1;11,7;62;RS1-070
12;Turno 1;11,2;60,5;RS1-070
12;Turno 1;11;60,5;RS1-070
12;Turno 1;11;61;RS1-070
12;Turno 1;11,8;62;RS1-070
12;Turno 1;11,4;61;RS1-070
12;Turno 1;11,2;61;RS1-070
12;Turno 1;11,2;61,5;RS1-070
12;Turno 1;11,8;62,5;RS1-070
12;Turno 1;11,4;61;RS1-070
12;Turno 1;11,3;61;RS1-070
12;Turno 1;11,4;61,5;RS1-070
12;Turno 1;12,3;62;RS1-070
12;Turno 1;11,8;61;RS1-070
12;Turno 1;12,2;60,5;RS1-070
12;Turno 1;12,2;61;RS1-070
12;Turno 2;12,5;61;RS1-070
12;Turno 2;12,2;61,5;RS1-070
12;Turno 2;12,1;62;RS1-070
12;Turno 2;12;62;RS1-070
12;Turno 2;12,4;62;RS1-070
12;Turno 2;12;62;RS1-070
12;Turno 2;11,9;62,5;RS1-070
12;Turno 2;11,8;63;RS1-070
12;Turno 2;12,4;63;RS1-070
12;Turno 2;12;62,5;RS1-070
12;Turno 2;11,8;63;RS1-070
12;Turno 2;11,8;63;RS1-070
12;Turno 2;12,4;62,5;RS1-070
12;Turno 2;12;62;RS1-070
12;Turno 2;11,7;62,5;RS1-070
12;Turno 2;11,6;62,5;RS1-070
13;Turno 3;12,3;62;RS1-070
13;Turno 3;11,8;61,5;RS1-070
13;Turno 3;11,5;61,5;RS1-070
13;Turno 3;11,6;61,5;RS1-070
13;Turno 3;12,2;61,5;RS1-070
13;Turno 3;11,7;61,5;RS1-070
13;Turno 3;11,5;61,5;RS1-070
13;Turno 3;11,5;61,5;RS1-070
13;Turno 3;12,2;61;RS1-070
13;Turno 3;11,8;61;RS1-070
13;Turno 3;11,4;61,5;RS1-070
13;Turno 3;11,4;62;RS1-070
13;Turno 3;12,3;61;RS1-070
13;Turno 3;11,6;60,5;RS1-070
13;Turno 3;11,6;61;RS1-070
13;Turno 1;11,7;61;RS1-070
12;Turno 3;11,8;62,5;RS1-080
12;Turno 3;12,1;62;RS1-080
12;Turno 3;11,6;62;RS1-080
12;Turno 3;11,7;62,5;RS1-080
12;Turno 3;11,8;62,5;RS1-080
12;Turno 3;12;62;RS1-080
12;Turno 3;11,4;62;RS1-080
12;Turno 3;11,6;62;RS1-080
12;Turno 3;11,6;63,5;RS1-080
12;Turno 3;12,1;62;RS1-080
12;Turno 3;11,4;62,5;RS1-080
12;Turno 3;11,5;63;RS1-080
12;Turno 3;11,8;62,5;RS1-080
12;Turno 3;12;61,5;RS1-080
12;Turno 3;11,5;61,5;RS1-080
12;Turno 1;11,7;61,5;RS1-080
12;Turno 1;11,7;62;RS1-080
12;Turno 1;12;61,5;RS1-080
12;Turno 1;11,5;61,5;RS1-080
12;Turno 1;11,7;62;RS1-080
12;Turno 1;11,8;62;RS1-080
12;Turno 1;12,2;61,5;RS1-080
12;Turno 1;11,7;62;RS1-080
12;Turno 1;11,8;62;RS1-080
12;Turno 1;11,8;63;RS1-080
12;Turno 1;12,2;62;RS1-080
12;Turno 1;11,8;62;RS1-080
12;Turno 1;11,9;62,5;RS1-080
12;Turno 1;12,2;63,5;RS1-080
12;Turno 1;12,5;62;RS1-080
12;Turno 1;12,2;62,5;RS1-080
12;Turno 1;12,4;62,5;RS1-080
12;Turno 2;12,5;63;RS1-080
12;Turno 2;12,3;63;RS1-080
12;Turno 2;12,2;63,5;RS1-080
12;Turno 2;12,3;63,5;RS1-080
12;Turno 2;12,4;63,5;RS1-080
12;Turno 2;12;63,5;RS1-080
12;Turno 2;12;64;RS1-080
12;Turno 2;12;64;RS1-080
12;Turno 2;12,3;64;RS1-080
12;Turno 2;12;64;RS1-080
12;Turno 2;11,9;64,5;RS1-080
12;Turno 2;11,9;64,5;RS1-080
12;Turno 2;12,3;63,5;RS1-080
12;Turno 2;12;63,5;RS1-080
12;Turno 2;11,9;64;RS1-080
12;Turno 2;11,9;64;RS1-080
13;Turno 3;12,2;63;RS1-080
